"Index","Open","High","Low","Close","Volume","Open Interest"
2016-03-23,68300,69500,68050,68260,674642,435104
2016-03-24,68360,68610,67600,68130,686116,412414
2016-03-25,67980,68640,67850,68470,461376,393696
2016-03-28,68380,68950,67990,68120,436500,387790
2016-03-29,68180,68810,67800,68290,409056,371538
2016-03-30,68240,68380,66350,66740,643814,393148
2016-03-31,66600,67390,66100,66250,551754,387192
2016-04-01,66070,66830,66010,66340,472770,368288
2016-04-04,NA,NA,NA,NA,NA,NA
2016-04-05,66060,66230,65140,65690,255854,362046
2016-04-06,65530,66850,65530,66710,410908,336676
2016-04-07,66710,67340,66610,67050,340576,311830
2016-04-08,66950,66950,65600,66520,365724,289182
2016-04-11,67600,68720,67530,68230,416704,371030
2016-04-12,68510,69040,68000,69000,498870,413000
2016-04-13,69070,71940,68760,70260,1311228,473382
2016-04-14,70800,71400,70260,70710,762510,490702
2016-04-15,70880,71460,70060,70240,745346,508514
2016-04-18,70330,71470,69530,70840,788530,521640
2016-04-19,71300,72170,70040,71010,1046740,554886
2016-04-20,71340,72830,71060,71880,1317728,555618
2016-04-21,72300,74400,71720,73850,1506998,600716
2016-04-22,75010,75110,70470,71810,1459122,557696
2016-04-25,72000,73720,70820,72050,1250414,561076
2016-04-26,71910,72220,70670,71350,822540,562176
2016-04-27,71500,72450,71260,71910,823176,564824
2016-04-28,72100,72710,71370,72170,1041496,570620
2016-04-29,72140,73400,71910,73340,954570,593836
2016-05-02,NA,NA,NA,NA,NA,NA
2016-05-03,73290,76200,72700,75940,862968,653182
2016-05-04,75690,76390,73720,74360,1429034,626004
2016-05-05,74540,74930,73120,73420,970200,613536
2016-05-06,73460,73590,69900,70700,1412010,578524
2016-05-09,70790,72080,68920,69030,1291174,604630
2016-05-10,68920,69480,68150,69210,946058,597736
2016-05-11,69050,69700,69010,69400,773980,605872
2016-05-12,69710,70610,69120,70130,962488,596240
2016-05-13,70000,70360,67750,68250,1122286,591130
2016-05-16,68080,69130,67900,68850,677276,591198
2016-05-17,68880,69640,68660,69410,688620,594566
2016-05-18,69090,69880,68430,68600,806500,619082
2016-05-19,68580,69180,68200,68430,609878,622594
2016-05-20,68190,68830,67770,68520,559474,628154
2016-05-23,68530,68780,66720,67180,828052,643032
2016-05-24,66890,67420,66430,67020,553818,652548
2016-05-25,67190,67820,66730,66820,633888,654140
2016-05-26,67080,67710,66830,67230,668844,668578
2016-05-27,67280,67800,66350,67390,824508,661686
2016-05-30,67390,67680,66750,67360,544958,660418
2016-05-31,67400,68390,67200,68090,653542,667272
2016-06-01,68160,68280,66950,67150,524336,681582
2016-06-02,66990,68000,66750,67430,507290,654718
2016-06-03,67320,67850,67310,67550,480244,671238
2016-06-06,68100,69260,67660,68990,615780,652222
2016-06-07,69120,69500,68480,68780,443264,632672
2016-06-08,68500,69300,68320,68890,408292,607992
2016-06-09,NA,NA,NA,NA,NA,NA
2016-06-10,NA,NA,NA,NA,NA,NA
2016-06-13,69600,70870,69510,70300,350280,601348
2016-06-14,70430,70700,70000,70420,389368,588166
2016-06-15,70220,71300,70090,71240,568748,598626
2016-06-16,71880,71980,70170,70420,497828,568340
2016-06-17,70250,71450,69900,71450,486166,557408
2016-06-20,71600,72870,71090,72520,617698,541624
2016-06-21,72800,73400,72000,72390,494708,515490
2016-06-22,72450,72880,71570,72760,478340,507188
2016-06-23,72750,72980,71680,72050,428734,497116
2016-06-24,72180,72500,70010,70470,673326,476088
2016-06-27,70610,71850,70520,71650,535002,479126
2016-06-28,71580,72860,71030,72580,526784,477966
2016-06-29,72730,73950,72650,73450,710344,459692
2016-06-30,73600,75350,73380,74890,733846,474668
2016-07-01,74730,75980,73600,75560,845836,493470
2016-07-04,75700,79240,75500,79240,1016926,552196
2016-07-05,80950,83490,77200,80600,1844850,537240
2016-07-06,80660,82140,75970,78060,2027096,507050
2016-07-07,77410,80900,76680,77270,1631036,491106
2016-07-08,77480,78400,75120,76840,1333552,463450
2016-07-11,77510,79880,76900,79300,1193678,471884
2016-07-12,79450,81400,78820,81160,1095460,496362
2016-07-13,81400,83570,79900,80430,1638146,485588
2016-07-14,80800,82000,79700,81770,1085930,486054
2016-07-15,81590,82180,80100,81200,977862,479964
2016-07-18,81610,82000,79530,80840,1178810,468188
2016-07-19,81000,83750,80340,81880,1637088,481030
2016-07-20,81750,82360,80680,81550,1102102,456666
2016-07-21,81080,82780,80510,82250,1038416,461090
2016-07-22,82880,84080,81150,81220,1274224,442624
2016-07-25,81600,81890,79770,80520,1000232,414574
2016-07-26,80700,80880,78650,79390,860320,382886
2016-07-27,79310,80690,79120,79650,768382,351508
2016-07-28,79920,81500,79580,81390,784462,343934
2016-07-29,81500,82000,80280,80330,716288,315740
2016-08-01,80680,82580,79940,82430,684284,304298
2016-08-02,82200,83450,81620,83390,561092,288158
2016-08-03,85290,85700,83450,83880,698722,508116
2016-08-04,84010,84500,81590,82100,796350,478976
2016-08-05,81600,83200,81590,82970,692210,514468
2016-08-08,82700,84890,82110,84430,773628,566194
2016-08-09,84400,84790,83300,83790,709644,568570
2016-08-10,83450,84700,83100,84190,747168,574810
2016-08-11,84500,85250,83090,83330,971948,587090
2016-08-12,83300,83900,82600,83100,749318,596208
2016-08-15,82080,82500,80520,80850,983504,610604
2016-08-16,81310,82050,81120,81490,611550,604464
2016-08-17,81380,81700,80660,81170,684610,613314
2016-08-18,81050,81770,80260,81440,733912,609926
2016-08-19,81530,81740,80900,81540,498222,614896
2016-08-22,81400,82140,80500,80590,602994,621676
2016-08-23,80520,81480,80360,81110,412270,604530
2016-08-24,81270,81580,80670,80980,425210,609466
2016-08-25,81120,81320,77550,78450,1062506,611110
2016-08-26,77900,78790,77850,78310,466932,600286
2016-08-29,78310,79280,77990,78570,604124,576564
2016-08-30,78610,78970,78000,78150,356702,588174
2016-08-31,77980,78710,77890,78060,434898,586950
2016-09-01,78000,79200,77980,78810,531406,576764
2016-09-02,78530,80480,78380,79820,731232,556138
2016-09-05,80020,80840,80020,80230,565786,563528
2016-09-06,80370,81120,79500,81040,553620,552206
2016-09-07,80910,81300,80360,80920,533470,537074
2016-09-08,81150,81420,80580,80980,447436,541706
2016-09-09,81400,81550,80850,81320,426516,536068
2016-09-12,81400,81460,78500,78710,619392,525288
2016-09-13,78820,79750,78680,79310,416320,517318
2016-09-14,79190,79500,78020,78280,484852,514876
2016-09-15,NA,NA,NA,NA,NA,NA
2016-09-16,NA,NA,NA,NA,NA,NA
2016-09-19,77990,79360,77960,78960,256726,512880
2016-09-20,79100,80700,79030,80610,541658,507280
2016-09-21,80690,80980,80110,80510,398448,496404
2016-09-22,80850,82560,80520,81700,652968,492808
2016-09-23,82260,82650,81800,82620,446672,499040
2016-09-26,82660,82850,81400,81480,541690,509732
2016-09-27,81550,82730,80200,82700,713616,530618
2016-09-28,82880,82980,81510,82090,725532,509676
2016-09-29,81920,83610,81570,81860,683474,493246
2016-09-30,81800,81990,80430,81380,525812,464428
2016-10-03,NA,NA,NA,NA,NA,NA
2016-10-04,NA,NA,NA,NA,NA,NA
