,Open,High,Low,Close,Volume,Open Interest
2009-02-26,12940.0,13495.0,12860.0,13315.0,396352.0,79282.0
2009-02-27,13410.0,13590.0,13240.0,13405.0,221110.0,72130.0
2009-03-02,13200.0,13470.0,13165.0,13395.0,146842.0,68160.0
2009-03-03,13210.0,13435.0,13190.0,13360.0,99292.0,58388.0
2009-03-04,13440.0,13520.0,13365.0,13380.0,54750.0,50746.0
2009-03-05,13505.0,13645.0,13300.0,13310.0,38850.0,45668.0
2009-03-06,13230.0,13355.0,13025.0,13085.0,29236.0,41616.0
2009-03-09,13200.0,13270.0,13050.0,13095.0,14424.0,39676.0
2009-03-10,13100.0,13250.0,12955.0,13045.0,16844.0,33692.0
2009-03-11,13095.0,13195.0,12990.0,13015.0,10440.0,30774.0
2009-03-12,12850.0,12970.0,12670.0,12880.0,12858.0,27458.0
2009-03-13,13085.0,13100.0,12850.0,12890.0,7998.0,24344.0
2009-03-16,11870.0,11995.0,11655.0,11970.0,5556.0,7304.0
2009-03-17,12030.0,12245.0,11990.0,12160.0,10022.0,8386.0
2009-03-18,12265.0,12310.0,12190.0,12200.0,7818.0,9484.0
2009-03-19,12270.0,12440.0,12225.0,12400.0,7798.0,9524.0
