,Open,High,Low,Close,Volume,Open Interest
2006-08-11,18990.0,19130.0,18950.0,19120.0,22776.0,53850.0
2006-08-14,18940.0,19050.0,18900.0,18920.0,20820.0,51364.0
2006-08-15,18840.0,18840.0,18520.0,18540.0,17786.0,51676.0
2006-08-16,18480.0,18510.0,18280.0,18360.0,27310.0,48494.0
2006-08-17,18350.0,18420.0,18240.0,18310.0,25008.0,47776.0
2006-08-18,18140.0,18450.0,18130.0,18430.0,22754.0,49374.0
2006-08-21,18390.0,18510.0,18350.0,18470.0,33450.0,52208.0
2006-08-22,18580.0,18840.0,18540.0,18750.0,27062.0,55194.0
2006-08-23,18740.0,18850.0,18560.0,18610.0,42708.0,54500.0
2006-08-24,18680.0,18680.0,18500.0,18550.0,32140.0,54980.0
2006-08-25,18520.0,18680.0,18510.0,18640.0,21598.0,54670.0
2006-08-28,18680.0,19000.0,18680.0,18970.0,22062.0,59630.0
2006-08-29,19010.0,19220.0,18930.0,19070.0,44720.0,59636.0
2006-08-30,18980.0,19050.0,18870.0,18950.0,65092.0,59442.0
2006-08-31,19020.0,19090.0,18850.0,18890.0,43128.0,62022.0
2006-09-01,18800.0,19390.0,18760.0,19270.0,42300.0,65146.0
2006-09-04,19250.0,19530.0,19130.0,19500.0,97036.0,65730.0
2006-09-05,19450.0,19880.0,19430.0,19670.0,77828.0,68714.0
2006-09-06,20080.0,20500.0,20040.0,20500.0,125812.0,68120.0
2006-09-07,20890.0,21330.0,20720.0,20890.0,113726.0,75872.0
2006-09-08,21100.0,21250.0,20170.0,20200.0,206168.0,72956.0
2006-09-11,20000.0,20060.0,19710.0,19710.0,217770.0,70846.0
2006-09-12,18910.0,19440.0,18900.0,19200.0,113244.0,71004.0
2006-09-13,18900.0,19550.0,18850.0,19250.0,149544.0,70072.0
2006-09-14,19500.0,19660.0,19330.0,19530.0,184972.0,74288.0
2006-09-15,19040.0,19300.0,18880.0,19290.0,133568.0,71964.0
2006-09-18,19310.0,19500.0,19250.0,19300.0,96198.0,71568.0
2006-09-19,19530.0,19540.0,19320.0,19410.0,69284.0,66494.0
2006-09-20,19310.0,19460.0,19210.0,19280.0,43660.0,67832.0
2006-09-21,19400.0,19750.0,19350.0,19680.0,51020.0,66288.0
2006-09-22,20100.0,20210.0,19940.0,20160.0,65766.0,66882.0
2006-09-25,20080.0,20180.0,19910.0,19920.0,83500.0,66070.0
2006-09-26,20040.0,20060.0,19450.0,19480.0,69088.0,64758.0
2006-09-27,18970.0,19330.0,18970.0,19270.0,91200.0,72868.0
2006-09-28,19330.0,19490.0,19220.0,19490.0,87532.0,74030.0
2006-09-29,19680.0,19930.0,19600.0,19920.0,58418.0,76790.0
2006-10-02,,,,,,
2006-10-03,,,,,,
2006-10-04,,,,,,
2006-10-05,,,,,,
2006-10-06,,,,,,
2006-10-09,20080.0,20230.0,19720.0,19970.0,,83346.0
2006-10-10,19970.0,20080.0,19770.0,19970.0,152730.0,86956.0
2006-10-11,19900.0,20040.0,19850.0,19930.0,107790.0,87762.0
2006-10-12,20060.0,20200.0,20030.0,20150.0,75234.0,91736.0
2006-10-13,20080.0,20210.0,19970.0,20010.0,91302.0,90062.0
2006-10-16,20180.0,20320.0,20090.0,20310.0,90858.0,89414.0
2006-10-17,20660.0,20990.0,20550.0,20990.0,96672.0,81106.0
2006-10-18,20760.0,20960.0,20610.0,20800.0,107202.0,76488.0
2006-10-19,20990.0,21040.0,20820.0,20900.0,113224.0,70546.0
2006-10-20,20980.0,21040.0,20830.0,20860.0,85618.0,68990.0
2006-10-23,20830.0,21120.0,20830.0,21110.0,90196.0,73744.0
2006-10-24,21000.0,21100.0,20440.0,20520.0,69940.0,76470.0
2006-10-25,20700.0,20780.0,20460.0,20580.0,98404.0,75602.0
2006-10-26,21050.0,21240.0,20980.0,21160.0,109900.0,78200.0
2006-10-27,21070.0,21100.0,20850.0,21000.0,108510.0,73876.0
2006-10-30,20460.0,20740.0,20120.0,20190.0,114030.0,70366.0
2006-10-31,20110.0,20170.0,19530.0,19680.0,162716.0,71002.0
2006-11-01,19600.0,19990.0,19390.0,19910.0,201170.0,74680.0
2006-11-02,19550.0,19900.0,19500.0,19810.0,195796.0,69936.0
2006-11-03,19900.0,19980.0,19730.0,19780.0,141508.0,68424.0
2006-11-06,19890.0,20250.0,19870.0,20240.0,118318.0,72668.0
2006-11-07,20260.0,20490.0,20250.0,20460.0,101198.0,73018.0
2006-11-08,20400.0,20560.0,20290.0,20370.0,84638.0,75356.0
2006-11-09,19920.0,20060.0,19840.0,20000.0,124500.0,71868.0
2006-11-10,20690.0,20720.0,20430.0,20500.0,96910.0,77850.0
2006-11-13,19760.0,20120.0,19760.0,20110.0,105332.0,76720.0
2006-11-14,20130.0,20350.0,19970.0,20100.0,111670.0,71348.0
2006-11-15,20050.0,20240.0,19780.0,20050.0,119980.0,74824.0
2006-11-16,20160.0,20230.0,19960.0,20120.0,141562.0,70474.0
2006-11-17,19880.0,19960.0,19710.0,19810.0,104610.0,67306.0
2006-11-20,19800.0,19860.0,19710.0,19770.0,116080.0,64702.0
2006-11-21,19840.0,19950.0,19830.0,19860.0,65494.0,62054.0
2006-11-22,20080.0,20120.0,20020.0,20110.0,42466.0,57968.0
2006-11-23,20010.0,20160.0,19950.0,20150.0,36402.0,58390.0
2006-11-24,20200.0,20360.0,20180.0,20350.0,42182.0,53988.0
2006-11-27,20520.0,20580.0,20370.0,20380.0,36542.0,53492.0
2006-11-28,20330.0,20440.0,20280.0,20320.0,48392.0,50562.0
2006-11-29,20400.0,20400.0,20260.0,20370.0,29326.0,49252.0
2006-11-30,20040.0,20110.0,19980.0,20110.0,19950.0,43028.0
2006-12-01,20300.0,20310.0,19970.0,19990.0,25416.0,45108.0
2006-12-04,20310.0,20350.0,20230.0,20300.0,41620.0,45866.0
2006-12-05,20270.0,20290.0,20170.0,20180.0,46608.0,45310.0
2006-12-06,20350.0,20360.0,20200.0,20240.0,30018.0,46542.0
2006-12-07,20020.0,20190.0,20020.0,20140.0,33118.0,46816.0
2006-12-08,20190.0,20300.0,20130.0,20280.0,30686.0,49214.0
2006-12-11,20270.0,20320.0,20230.0,20270.0,30468.0,49086.0
2006-12-12,20240.0,20370.0,20230.0,20320.0,19444.0,48610.0
2006-12-13,20280.0,20580.0,20280.0,20560.0,17470.0,52584.0
2006-12-14,20480.0,20550.0,20460.0,20480.0,53086.0,48972.0
2006-12-15,20700.0,20700.0,20550.0,20570.0,29444.0,47222.0
2006-12-18,20390.0,20570.0,20390.0,20510.0,26368.0,47680.0
2006-12-19,20500.0,20590.0,20500.0,20540.0,20014.0,45232.0
2006-12-20,20300.0,20370.0,20240.0,20350.0,19746.0,40784.0
2006-12-21,20300.0,20330.0,20220.0,20240.0,25060.0,40464.0
2006-12-22,20240.0,20240.0,19810.0,19960.0,24294.0,41138.0
2006-12-25,20080.0,20180.0,20020.0,20140.0,,40882.0
2006-12-26,20160.0,20260.0,20130.0,20240.0,21736.0,40748.0
2006-12-27,20290.0,20400.0,20260.0,,16782.0,41684.0
2006-12-28,20410.0,20620.0,20390.0,,20616.0,46074.0
2006-12-29,20560.0,20640.0,20450.0,20550.0,39678.0,42214.0
2007-01-01,,,,,,
2007-01-02,,,,,,
2007-01-03,,,,,,
2007-01-04,20040.0,20230.0,19710.0,19720.0,,44974.0
2007-01-05,19620.0,20030.0,19620.0,19960.0,82492.0,45680.0
2007-01-08,19420.0,19520.0,19210.0,19350.0,98394.0,51022.0
2007-01-09,19500.0,19810.0,19500.0,19710.0,151382.0,47758.0
2007-01-10,19850.0,20040.0,19820.0,19970.0,81122.0,46052.0
2007-01-11,20200.0,20280.0,19790.0,19830.0,59028.0,46562.0
2007-01-12,19910.0,19960.0,19760.0,19810.0,65844.0,46780.0
2007-01-15,19810.0,20010.0,19790.0,19890.0,53820.0,46156.0
2007-01-16,19900.0,19900.0,19500.0,19610.0,42806.0,46156.0
2007-01-17,19720.0,19740.0,19290.0,19430.0,68822.0,44930.0
2007-01-18,19460.0,19580.0,19290.0,19550.0,68048.0,42976.0
2007-01-19,19400.0,19520.0,19310.0,19420.0,48868.0,41966.0
2007-01-22,19570.0,19690.0,19500.0,19640.0,38596.0,38998.0
2007-01-23,19800.0,19830.0,19630.0,19650.0,37892.0,37976.0
2007-01-24,19680.0,19720.0,19590.0,19670.0,26294.0,42104.0
2007-01-25,19610.0,19640.0,19480.0,19560.0,35082.0,42764.0
2007-01-26,19520.0,19550.0,19370.0,19410.0,26328.0,41550.0
2007-01-29,19430.0,19570.0,19400.0,19540.0,27664.0,42760.0
2007-01-30,19110.0,19260.0,19090.0,19210.0,29476.0,45770.0
2007-01-31,19290.0,19360.0,19220.0,19340.0,44728.0,45884.0
2007-02-01,19420.0,19520.0,19410.0,19500.0,27032.0,47002.0
2007-02-02,19540.0,19590.0,19450.0,19510.0,26102.0,46666.0
2007-02-05,19400.0,19590.0,19360.0,19550.0,25196.0,46362.0
2007-02-06,19600.0,19700.0,19530.0,19620.0,28106.0,45858.0
2007-02-07,19660.0,19720.0,19560.0,19570.0,41288.0,42860.0
2007-02-08,19400.0,19570.0,19400.0,19510.0,22126.0,41388.0
2007-02-09,19610.0,19650.0,19510.0,19570.0,24154.0,40664.0
2007-02-12,19580.0,19600.0,19500.0,19530.0,17562.0,40332.0
2007-02-13,19530.0,19590.0,19530.0,19590.0,14278.0,39460.0
2007-02-14,19720.0,19760.0,19640.0,19730.0,7774.0,39508.0
2007-02-15,19650.0,19780.0,19610.0,19740.0,28100.0,39170.0
2007-02-16,19740.0,19990.0,19710.0,19910.0,18520.0,40388.0
2007-02-19,,,,,,
2007-02-20,,,,,,
2007-02-21,,,,,,
2007-02-22,,,,,,
2007-02-23,,,,,,
2007-02-26,20190.0,20390.0,20180.0,20220.0,,46376.0
2007-02-27,20200.0,20260.0,19810.0,19830.0,41780.0,44674.0
2007-02-28,19700.0,19900.0,19680.0,19830.0,36416.0,44884.0
2007-03-01,19760.0,19860.0,19700.0,19740.0,29560.0,44100.0
2007-03-02,19760.0,19770.0,19620.0,19770.0,15908.0,44808.0
2007-03-05,19800.0,19800.0,19440.0,19490.0,18088.0,43496.0
2007-03-06,19450.0,19630.0,19360.0,19620.0,31754.0,45058.0
2007-03-07,19560.0,19640.0,19490.0,19600.0,33692.0,44734.0
2007-03-08,19740.0,19740.0,19660.0,19660.0,20494.0,43638.0
2007-03-09,19700.0,19700.0,19540.0,19580.0,13926.0,41782.0
2007-03-12,19530.0,19620.0,19500.0,19580.0,16408.0,41164.0
2007-03-13,19680.0,19690.0,19570.0,19570.0,9920.0,40864.0
2007-03-14,19520.0,19540.0,19430.0,19510.0,11526.0,40868.0
2007-03-15,19520.0,19540.0,19460.0,19590.0,14970.0,41522.0
2007-03-16,19720.0,19720.0,19550.0,19640.0,7660.0,38910.0
2007-03-19,19700.0,19720.0,19580.0,19600.0,26366.0,37818.0
2007-03-20,19640.0,19680.0,19600.0,19650.0,22744.0,37536.0
2007-03-21,19580.0,19600.0,19510.0,19580.0,12636.0,37078.0
2007-03-22,19590.0,19620.0,19540.0,19560.0,15728.0,36584.0
2007-03-23,19570.0,19600.0,19530.0,19570.0,8326.0,35700.0
2007-03-26,19540.0,19580.0,19530.0,19570.0,6238.0,35066.0
2007-03-27,19530.0,19540.0,19310.0,19330.0,6500.0,35438.0
2007-03-28,19390.0,19420.0,19250.0,19370.0,12852.0,35906.0
2007-03-29,19350.0,19370.0,19300.0,19340.0,10302.0,35144.0
2007-03-30,19390.0,19410.0,19310.0,19320.0,5410.0,35924.0
2007-04-02,19280.0,19350.0,19200.0,19240.0,5756.0,36436.0
2007-04-03,19220.0,19270.0,19190.0,19270.0,7828.0,36842.0
2007-04-04,19390.0,19500.0,19350.0,19410.0,7042.0,36556.0
2007-04-05,19430.0,19460.0,19390.0,19410.0,17476.0,36048.0
2007-04-06,19410.0,19650.0,19370.0,19630.0,8020.0,29258.0
2007-04-09,19660.0,20200.0,19630.0,20000.0,14570.0,46148.0
2007-04-10,20000.0,20430.0,19820.0,19940.0,74744.0,47304.0
2007-04-11,19860.0,19980.0,19680.0,19740.0,130652.0,44452.0
2007-04-12,19780.0,20010.0,19760.0,19880.0,47720.0,46458.0
2007-04-13,19700.0,19840.0,19660.0,19780.0,45774.0,44440.0
2007-04-16,19820.0,19940.0,19800.0,19870.0,20344.0,44208.0
2007-04-17,19760.0,20040.0,19760.0,19840.0,20552.0,44586.0
2007-04-18,20110.0,20320.0,20030.0,20210.0,27502.0,53738.0
2007-04-19,20130.0,20220.0,19680.0,19850.0,80228.0,45756.0
2007-04-20,19860.0,20270.0,19750.0,20240.0,69658.0,51634.0
2007-04-23,20300.0,20330.0,19960.0,20120.0,66356.0,49056.0
2007-04-24,20260.0,20320.0,20150.0,20250.0,50644.0,52854.0
2007-04-25,20100.0,20170.0,19980.0,20100.0,39814.0,47680.0
2007-04-26,20150.0,20160.0,20070.0,20130.0,32288.0,48118.0
2007-04-27,20060.0,20120.0,19960.0,20040.0,24850.0,47208.0
2007-04-30,20130.0,20270.0,20070.0,20250.0,35890.0,48734.0
2007-05-01,,,,,,
2007-05-02,,,,,,
2007-05-03,,,,,,
2007-05-04,,,,,,
2007-05-07,,,,,,
2007-05-08,20570.0,20900.0,20490.0,20760.0,,57218.0
2007-05-09,20800.0,20800.0,20420.0,20550.0,81090.0,51696.0
2007-05-10,20470.0,20710.0,20380.0,20640.0,71670.0,53560.0
2007-05-11,20350.0,20580.0,20350.0,20410.0,58626.0,50992.0
2007-05-14,20640.0,20710.0,20430.0,20520.0,39920.0,51904.0
2007-05-15,20380.0,20450.0,20020.0,20140.0,44222.0,49016.0
2007-05-16,20250.0,20320.0,20080.0,20230.0,87360.0,46988.0
2007-05-17,20100.0,20140.0,19910.0,19990.0,29584.0,45344.0
2007-05-18,19910.0,20090.0,19750.0,19980.0,39570.0,44070.0
2007-05-21,19990.0,20240.0,19990.0,20180.0,40340.0,42896.0
2007-05-22,20110.0,20150.0,19930.0,19970.0,37524.0,37132.0
2007-05-23,19850.0,19950.0,19810.0,19880.0,26356.0,36596.0
2007-05-24,19890.0,19930.0,19830.0,19920.0,19388.0,37786.0
2007-05-25,19700.0,19790.0,19660.0,19780.0,10796.0,37064.0
2007-05-28,19970.0,20010.0,19880.0,19910.0,20500.0,38894.0
2007-05-29,19930.0,19930.0,19750.0,19750.0,13806.0,38172.0
2007-05-30,19680.0,19760.0,19650.0,19710.0,14204.0,36494.0
2007-05-31,19720.0,19940.0,19720.0,19920.0,9532.0,34352.0
2007-06-01,19960.0,19960.0,19810.0,19870.0,10982.0,33894.0
2007-06-04,19850.0,19870.0,19800.0,19810.0,7044.0,34008.0
2007-06-05,19900.0,20000.0,19860.0,19940.0,4402.0,34378.0
2007-06-06,19900.0,19990.0,19900.0,19920.0,10366.0,33414.0
2007-06-07,19820.0,19940.0,19820.0,19930.0,5310.0,33416.0
2007-06-08,19930.0,19990.0,19880.0,19900.0,5542.0,33516.0
2007-06-11,19890.0,19930.0,19830.0,19910.0,9158.0,33266.0
2007-06-12,19950.0,19950.0,19840.0,19860.0,4954.0,33668.0
2007-06-13,19840.0,19890.0,19830.0,19880.0,5756.0,33580.0
2007-06-14,19930.0,19930.0,19320.0,19470.0,2966.0,37572.0
2007-06-15,19500.0,19620.0,19420.0,19580.0,19834.0,37482.0
2007-06-18,19650.0,19680.0,19510.0,19580.0,19130.0,38184.0
2007-06-19,19300.0,19370.0,19270.0,19330.0,6836.0,29314.0
2007-06-20,19230.0,19400.0,19200.0,19320.0,4254.0,29612.0
2007-06-21,19340.0,19370.0,19300.0,19350.0,8720.0,29280.0
2007-06-22,19120.0,19230.0,19120.0,19200.0,3978.0,15284.0
2007-06-25,19420.0,19420.0,19270.0,19300.0,4604.0,30292.0
2007-06-26,19350.0,19350.0,19050.0,19200.0,4820.0,32454.0
2007-06-27,19090.0,19180.0,18880.0,19090.0,16718.0,34578.0
2007-06-28,19110.0,19170.0,19060.0,19160.0,34010.0,34380.0
2007-06-29,19190.0,19250.0,19160.0,19230.0,10948.0,34374.0
2007-07-02,19140.0,19310.0,19140.0,19290.0,7602.0,34444.0
