,METFN3 1GQ
2012-09-24,16900.0
2012-09-25,16500.0
2012-09-28,16750.0
2012-10-01,18072.0
2012-10-02,18000.0
2012-10-03,18000.0
2012-10-04,17875.0
2012-10-05,17875.0
2012-10-11,17875.0
2012-10-12,17875.0
2012-10-15,17875.0
2012-10-16,17875.0
2012-10-23,17875.0
2012-10-24,17875.0
2012-10-29,17875.0
2012-10-31,17750.0
2012-11-05,17500.0
2012-11-08,17500.0
2012-11-20,17500.0
2012-11-26,17500.0
2012-11-29,17500.0
2012-11-30,17500.0
2012-12-03,17500.0
2012-12-04,17500.0
2012-12-10,17500.0
2012-12-11,17500.0
2012-12-12,17500.0
2012-12-14,17500.0
2012-12-18,17500.0
2012-12-20,17500.0
2012-12-31,17350.0
2013-01-01,17625.0
2013-01-03,17625.0
2013-01-04,17625.0
2013-01-07,17500.0
2013-01-08,17500.0
2013-01-09,17500.0
2013-01-10,17500.0
2013-01-14,17625.0
2013-01-15,17500.0
2013-01-16,17500.0
2013-01-17,17500.0
2013-01-21,17500.0
2013-01-25,17500.0
2013-01-28,17500.0
2013-01-29,17500.0
2013-01-30,17500.0
2013-02-01,17500.0
2013-02-04,17500.0
2013-02-08,17500.0
2013-02-11,17500.0
2013-02-13,17500.0
2013-02-14,17500.0
2013-02-15,17500.0
2013-02-20,17500.0
2013-02-21,17500.0
2013-02-22,17500.0
2013-02-25,17500.0
2013-02-28,17500.0
2013-03-01,17500.0
2013-03-05,17500.0
2013-03-07,17500.0
2013-03-11,17500.0
2013-03-15,17500.0
2013-03-19,17500.0
2013-03-20,17500.0
2013-03-22,17500.0
2013-03-26,17500.0
2013-03-28,17500.0
2013-03-29,17500.0
2013-04-01,18000.0
2013-04-02,18000.0
2013-04-03,18000.0
2013-04-04,18000.0
2013-04-05,17750.0
2013-04-08,17750.0
2013-04-09,17750.0
2013-04-11,17500.0
2013-04-12,17500.0
2013-04-15,17500.0
2013-04-19,17500.0
2013-04-23,17375.0
2013-04-24,17187.5
2013-04-26,17072.5
2013-04-29,17010.0
2013-04-30,17000.0
2013-05-02,17000.0
2013-05-06,17000.0
2013-05-10,17000.0
2013-05-17,16950.0
2013-05-21,16950.0
2013-05-22,16900.0
2013-05-28,16750.0
2013-05-29,16750.0
2013-05-31,16850.0
2013-06-04,16775.0
2013-06-05,16775.0
2013-06-06,16775.0
2013-06-12,16500.0
2013-06-14,16500.0
2013-06-17,16500.0
2013-06-24,16500.0
2013-06-25,16500.0
2013-06-27,16500.0
2013-06-28,16625.0
2013-07-01,16375.0
2013-07-02,16375.0
2013-07-03,16375.0
2013-07-08,16375.0
2013-07-09,16250.0
2013-07-12,15400.0
2013-07-15,15100.0
2013-07-16,15050.0
2013-07-23,15000.0
2013-07-26,15000.0
2013-07-29,15000.0
2013-08-01,15000.0
2013-08-07,14900.0
2013-08-08,14900.0
2013-08-09,14800.0
2013-08-16,14800.0
2013-08-20,14800.0
2013-08-22,14800.0
2013-08-26,14750.0
2013-08-27,14750.0
2013-09-02,14750.0
2013-09-03,14750.0
2013-09-04,14750.0
2013-09-11,14500.0
2013-09-13,14393.0
2013-09-23,14263.5
2013-09-25,14250.0
2013-09-26,14250.0
2013-09-27,14250.0
2013-09-30,14250.0
2013-10-02,14951.0
2013-10-03,14951.0
2013-10-04,14951.0
2013-10-07,14951.0
2013-10-08,14951.0
2013-10-09,14725.5
2013-10-15,14443.2
2013-10-17,14443.2
2013-10-21,14443.2
2013-10-23,14421.6
2013-10-24,14421.6
2013-10-28,14421.6
2013-10-30,14421.6
2013-10-31,14400.0
2013-11-01,14421.6
2013-11-04,14301.4
2013-11-05,14301.4
2013-11-07,14301.4
2013-11-13,14202.8
2013-11-15,14202.8
2013-11-18,14202.8
2013-11-26,14202.8
2013-11-28,14200.9
2013-11-29,14202.8
2013-12-02,14000.0
2013-12-03,14000.0
2013-12-04,14000.0
2013-12-09,14000.0
2013-12-12,14000.0
2013-12-13,14000.0
2013-12-18,14000.0
2013-12-20,14000.0
2013-12-27,14000.0
2013-12-31,14099.5
2014-01-02,14375.0
2014-01-03,14375.0
2014-01-06,14375.0
2014-01-09,14375.0
2014-01-10,14498.0
2014-01-13,14499.0
2014-01-14,14498.0
2014-01-15,14498.0
2014-01-16,14499.0
2014-01-17,14399.0
2014-01-23,14399.0
2014-01-29,14399.0
2014-01-31,14399.0
2014-02-03,14498.0
2014-02-04,14399.0
2014-02-05,14300.0
2014-02-06,14300.0
2014-02-10,14300.0
2014-02-12,14399.0
2014-02-17,14399.0
2014-02-18,14399.0
2014-02-19,14399.0
2014-02-24,14399.0
2014-02-27,14399.0
2014-02-28,14498.0
2014-03-04,14301.8
2014-03-05,14301.8
2014-03-07,14301.8
2014-03-24,14300.0
2014-03-25,14300.0
2014-03-26,14300.0
2014-03-27,14303.6
2014-03-28,14300.0
2014-03-31,14250.0
2014-04-01,14662.0
2014-04-08,14662.0
2014-04-09,14662.0
2014-04-14,14875.0
2014-04-16,15010.0
2014-04-17,14750.0
2014-04-21,15061.0
2014-04-23,15061.0
2014-04-24,15061.0
2014-04-29,15102.0
2014-04-30,15454.5
2014-05-02,15454.5
2014-05-05,15454.5
2014-05-06,15729.5
2014-05-07,15867.0
2014-05-08,15867.0
2014-05-09,15867.0
2014-05-12,15867.0
2014-05-13,15867.0
2014-05-14,15984.0
2014-05-15,15984.0
2014-05-16,15984.0
2014-05-29,16050.0
2014-05-30,16050.0
2014-06-04,16050.0
2014-06-06,17000.0
2014-06-09,17746.0
2014-06-10,17746.0
