date,LMZSDY,return_3d,discrete_3d,score,horizon,discrete_score
2018-05-02,3031.75,0.4865176878040778,0,1.3597613736950993,3,0
2018-05-03,2988.25,2.4512674642349186,1,5.044723774224685,3,1
2018-05-04,3046.0,0.8864084044648779,0,8.869251274624066,3,1
2018-05-08,3046.5,0.5662235352043243,0,3.8092195911560194,3,1
2018-05-09,3061.5,-0.8410909684795076,-1,2.2837324860849777,3,1
2018-05-10,3073.0,-0.9030263586072284,-1,4.588015807450162,3,1
2018-05-11,3063.75,0.02447980416155904,0,5.182626770080106,3,1
2018-05-14,3035.75,1.877624969118008,1,8.56718764007544,3,1
2018-05-15,3045.25,1.6829488547738247,1,9.736530329150034,3,1
2018-05-16,3064.5,1.1257953989231462,0,10.390921885098306,3,1
2018-05-17,3092.75,-1.3984318163446807,-1,10.069748326494867,3,1
2018-05-18,3096.5,-2.3252058776037416,-1,8.096336954339629,3,1
2018-05-21,3099.0,-2.049048080025817,-1,0.35897490716054176,3,0
2018-05-22,3049.5,-0.01639613051319655,0,5.01868014558082,3,1
2018-05-23,3024.5,2.140849727227634,1,6.22488755153853,3,1
2018-05-24,3035.5,2.9319716685883623,1,0.3997372019263029,3,0
2018-05-25,3049.0,1.5906854706461138,1,8.076540524199784,3,1
2018-05-29,3089.25,0.4046289552480431,0,0.7014806665814488,3,0
2018-05-30,3124.5,0.6240998559769562,0,1.3206772557156623,3,0
2018-05-31,3097.5,3.922518159806288,1,0.3892789318919186,3,0
2018-06-01,3101.75,3.5705650036269803,1,-3.5656805639445395,3,-1
2018-06-04,3144.0,1.9402035623409697,1,0.4681841601902109,3,0
2018-06-05,3219.0,0.20192606399502824,0,1.6009299804331378,3,0
2018-06-06,3212.5,0.6070038910505726,0,1.5940922354808889,3,0
2018-06-07,3205.0,0.7878315132605396,0,7.0672872202604475,3,1
2018-06-08,3225.5,0.9300883583940543,0,7.205111839179139,3,1
2018-06-11,3232.0,-0.3558168316831645,0,-3.3825360354453307,3,-1
2018-06-12,3230.25,-3.420787864716357,-1,-2.493407947822482,3,-1
2018-06-13,3255.5,-4.561511288588537,-1,3.8309393117440527,3,1
2018-06-14,3220.5,-5.791026238161779,-1,4.275402774729654,3,1
2018-06-15,3119.75,-2.6524561262921686,-1,-0.1949790421365624,3,0
2018-06-19,3034.0,-1.895187870797632,-1,1.9678942822929375,3,0
2018-06-20,3037.0,-4.066513006256178,-1,-5.781261340092901,3,-1
2018-06-21,2970.5,-2.8025584918363933,-1,-6.176867440532505,3,-1
2018-06-22,2976.5,-1.7974130690408208,-1,-0.8853709196190409,3,0
2018-06-25,2913.5,0.8752359704822466,0,0.4222903355079781,3,0
2018-06-26,2887.25,0.6667243917222176,0,-0.3209490280188673,3,0
2018-06-27,2923.0,-1.5395141977420423,-1,-1.452844542385152,3,-1
2018-06-28,2939.0,-3.223885675399796,-1,-0.052193867473815166,3,0
2018-06-29,2906.5,-5.289867538276283,-1,2.053279237751008,3,0
