,LEPB
2002-01-25,112750.0
2002-01-28,112575.0
2002-01-29,112825.0
2002-01-30,112525.0
2002-01-31,113325.0
2002-02-01,111225.0
2002-02-04,110400.0
2002-02-05,109675.0
2002-02-06,111600.0
2002-02-07,111450.0
2002-02-08,111050.0
2002-02-11,114825.0
2002-02-12,114275.0
2002-02-13,114975.0
2002-02-14,114800.0
2002-02-15,115600.0
2002-02-18,116425.0
2002-02-19,117125.0
2002-02-20,115650.0
2002-02-21,115025.0
2002-02-22,115250.0
2002-02-25,116225.0
2002-02-26,118025.0
2002-02-27,119475.0
2002-02-28,118600.0
2002-03-01,119200.0
2002-03-04,119000.0
2002-03-05,120900.0
2002-03-06,117750.0
2002-03-07,117250.0
2002-03-08,118300.0
2002-03-11,119250.0
2002-03-12,120300.0
2002-03-13,120750.0
2002-03-14,120800.0
2002-03-15,121775.0
2002-03-18,120900.0
2002-03-19,115900.0
2002-03-20,114825.0
2002-03-21,115575.0
2002-03-22,115700.0
2002-03-25,113350.0
2002-03-26,115925.0
2002-03-27,117525.0
2002-03-28,120150.0
2002-04-02,121300.0
2002-04-03,121300.0
2002-04-04,121075.0
2002-04-05,121000.0
2002-04-08,122025.0
2002-04-09,118425.0
2002-04-10,117900.0
2002-04-11,118800.0
2002-04-12,118675.0
2002-04-15,127800.0
2002-04-16,128375.0
2002-04-17,128400.0
2002-04-18,128475.0
2002-04-19,130200.0
2002-04-22,131575.0
2002-04-23,131600.0
2002-04-24,132475.0
2002-04-25,135375.0
2002-04-26,137175.0
2002-04-29,137250.0
2002-04-30,138750.0
2002-05-01,142775.0
2002-05-02,144875.0
2002-05-03,147900.0
2002-05-07,151975.0
2002-05-08,154475.0
2002-05-09,151750.0
2002-05-10,151825.0
2002-05-13,152900.0
2002-05-14,153200.0
2002-05-15,153375.0
2002-05-16,156800.0
2002-05-17,156950.0
2002-05-20,157525.0
2002-05-21,158050.0
