,LSPB
1986-03-28,65550.0
1986-04-04,64850.0
1986-04-11,64425.0
1986-04-18,65500.0
1986-04-25,65300.0
1986-05-02,62475.0
1986-05-09,62175.0
1986-05-16,59475.0
1986-05-23,59425.0
1986-05-30,58350.0
1986-06-06,57375.0
1986-06-13,46775.0
1986-06-20,43200.0
1986-06-27,43325.0
1986-07-04,42150.0
1986-07-11,40825.0
1986-07-18,40175.0
1986-07-25,39975.0
1986-08-01,40725.0
1986-08-08,40075.0
1986-08-15,40375.0
1986-08-22,40925.0
1986-08-29,39775.0
1986-09-05,42375.0
1986-09-12,40325.0
1986-09-19,40050.0
1986-09-26,39000.0
1986-10-03,38625.0
1986-10-10,34675.0
1986-10-17,34800.0
1986-10-24,33725.0
1986-10-31,31100.0
1986-11-07,29150.0
1986-11-14,28350.0
1986-11-21,28125.0
1986-11-28,27950.0
1986-12-05,31775.0
1986-12-12,32900.0
1986-12-19,31475.0
1986-12-26,37750.0
1987-01-16,33050.0
1987-02-27,29600.0
1987-03-06,28175.0
1987-03-13,27475.0
1987-03-20,25700.0
1987-03-27,25075.0
1987-04-01,23450.0
1987-04-08,22125.0
1987-04-15,18225.0
1987-04-22,16950.0
1987-04-29,15650.0
1987-05-06,12125.0
1987-05-13,10275.0
1987-05-20,12775.0
1987-05-27,15225.0
1987-06-03,15875.0
1987-06-10,19350.0
1987-06-17,20250.0
1987-06-24,20450.0
1987-07-01,21300.0
1987-07-08,21150.0
1987-07-15,21375.0
1987-07-22,22725.0
1987-07-29,23425.0
1987-08-05,25325.0
1987-08-12,25500.0
1987-08-19,25700.0
1987-08-26,23350.0
1987-09-02,20600.0
1987-09-09,21325.0
1987-09-16,20925.0
1987-09-23,19425.0
1987-10-01,19400.0
1987-10-08,19300.0
1987-10-15,19325.0
1987-10-22,18975.0
1987-10-29,17500.0
1987-11-05,17250.0
1987-11-12,16550.0
1987-11-19,18625.0
1987-11-26,18625.0
1987-12-03,19250.0
1987-12-10,19875.0
1987-12-17,19050.0
1987-12-24,18600.0
1988-01-01,15425.0
1988-01-08,15150.0
1988-01-15,13250.0
1988-01-22,12350.0
1988-01-29,14100.0
1988-02-05,15100.0
1988-02-12,18850.0
1988-02-19,19200.0
1988-02-26,21000.0
1988-03-04,20525.0
1988-03-11,18975.0
1988-03-18,19075.0
1988-03-25,20600.0
1988-04-01,21925.0
1988-04-08,23200.0
1988-04-15,25450.0
1988-04-22,25225.0
1988-04-29,27250.0
1988-05-06,27425.0
1988-05-13,27100.0
1988-05-20,27400.0
1988-05-27,29050.0
1988-06-03,41300.0
1988-06-10,41500.0
1988-06-17,56800.0
1988-06-24,61375.0
1988-07-01,62875.0
1988-07-08,63225.0
1988-07-15,66650.0
1988-07-22,65100.0
1988-07-29,66250.0
1988-08-05,65275.0
1988-08-12,65750.0
1988-08-19,64725.0
1988-08-26,63850.0
1988-09-02,63725.0
1988-09-09,62375.0
1988-09-16,66000.0
1988-09-23,64850.0
1988-09-30,65100.0
1988-10-28,59425.0
1988-11-25,56750.0
1988-12-23,61500.0
1989-01-06,59500.0
1989-01-13,59700.0
1989-01-20,59675.0
1989-01-27,52525.0
1989-02-03,50575.0
1989-02-10,49775.0
1989-02-17,50350.0
1989-02-24,49625.0
1989-03-03,50075.0
1989-03-10,47050.0
1989-03-17,43775.0
1989-03-24,42625.0
1989-03-31,41250.0
1989-04-07,39600.0
1989-04-14,39925.0
1989-04-21,39300.0
1989-04-28,35900.0
1989-05-05,35625.0
1989-05-12,34600.0
1989-05-19,35525.0
1989-05-26,34600.0
1989-06-02,34725.0
1989-06-09,34325.0
1989-06-16,36200.0
1989-06-23,35575.0
1989-06-30,34325.0
1989-07-07,33575.0
1989-07-14,32050.0
1989-07-21,32575.0
1989-07-28,32550.0
1989-08-04,25650.0
1989-08-11,28375.0
1989-08-18,28200.0
1989-08-25,27850.0
1989-09-01,27275.0
1989-09-08,32100.0
1989-09-15,38000.0
1989-09-22,36425.0
1989-09-29,34925.0
1989-10-06,34225.0
1989-10-13,33125.0
1989-10-20,30600.0
1989-10-27,28875.0
1989-11-03,27775.0
1989-11-10,27725.0
1989-11-17,27275.0
1989-11-24,23275.0
1989-12-01,21600.0
1989-12-08,23125.0
1989-12-15,24925.0
1989-12-22,24475.0
1989-12-29,23275.0
1990-01-05,22950.0
1990-01-12,22525.0
1990-01-19,23000.0
1990-01-26,18350.0
1990-02-02,17925.0
1990-02-09,16025.0
1990-02-16,13275.0
1990-02-23,13275.0
1990-03-02,14000.0
1990-03-09,12900.0
1990-03-16,16475.0
1990-03-23,23325.0
1990-03-30,26650.0
1990-04-06,29775.0
1990-04-13,30725.0
1990-04-20,32300.0
1990-04-26,33375.0
1990-04-30,32625.0
1990-05-03,32225.0
1990-05-10,32250.0
1990-05-14,31575.0
1990-05-17,34525.0
1990-05-21,33800.0
1990-05-24,33825.0
1990-05-31,34200.0
1990-06-04,35075.0
1990-06-07,35325.0
1990-06-11,39150.0
1990-06-14,40650.0
1990-06-18,42950.0
1990-06-21,43100.0
1990-06-25,43225.0
1990-06-28,42900.0
1990-07-02,43650.0
1990-07-05,42650.0
1990-07-09,42825.0
1990-07-12,43850.0
1990-07-16,43450.0
1990-07-19,43275.0
1990-07-23,43175.0
1990-07-26,42900.0
1990-07-30,41500.0
1990-08-02,40600.0
1990-08-06,40450.0
1990-08-09,39650.0
1990-08-13,39150.0
1990-08-16,39100.0
1990-08-20,38875.0
1990-08-23,39825.0
1990-08-30,40000.0
1990-09-03,39900.0
1990-09-06,39875.0
1990-09-10,40825.0
1990-09-13,42750.0
1990-09-17,42750.0
1990-09-20,42600.0
1990-09-24,42775.0
1990-09-27,42875.0
1990-10-01,42900.0
1990-10-04,42800.0
1990-10-08,43100.0
1990-10-11,44850.0
1990-10-15,44950.0
1990-10-18,45325.0
1990-10-22,45700.0
1990-10-25,45575.0
1990-10-29,45425.0
1990-11-01,44900.0
1990-11-05,44950.0
1990-11-08,45600.0
1990-11-12,46475.0
1990-11-15,45375.0
1990-11-19,44400.0
1990-11-22,43775.0
1990-11-26,43950.0
1990-11-29,43400.0
1990-12-03,43300.0
1990-12-06,42775.0
1990-12-10,42350.0
1990-12-13,41550.0
1990-12-17,55750.0
1990-12-20,56225.0
1990-12-27,56625.0
1991-01-03,56350.0
1991-01-07,56200.0
1991-01-10,55975.0
1991-01-14,61875.0
1991-01-17,61675.0
1991-01-21,61500.0
1991-01-24,67275.0
1991-01-28,66550.0
1991-01-31,65200.0
1991-02-04,63725.0
1991-02-07,63400.0
1991-02-11,67275.0
1991-02-14,68925.0
1991-02-18,68400.0
1991-02-21,72700.0
1991-02-25,71725.0
1991-02-28,73600.0
1991-03-04,73900.0
1991-03-07,73150.0
1991-03-11,73200.0
1991-03-14,72400.0
1991-03-18,72175.0
1991-03-21,70950.0
1991-03-25,71175.0
1991-03-28,70525.0
1991-04-04,70700.0
1991-04-08,70625.0
1991-04-11,70350.0
