,LSNI
1994-11-01,149820.0
1994-11-04,150420.0
1994-11-08,150276.0
1994-11-11,150498.0
1994-11-15,150492.0
1994-11-18,150432.0
1994-11-22,150462.0
1994-11-25,151254.0
1994-11-29,150732.0
1994-12-02,150498.0
1994-12-06,150408.0
1994-12-09,149688.0
1994-12-13,149388.0
1994-12-16,149166.0
1994-12-20,148524.0
1994-12-23,148836.0
1994-12-30,148392.0
1995-01-06,148422.0
1995-01-10,147990.0
1995-01-13,147258.0
1995-01-17,146568.0
1995-01-20,145158.0
1995-01-24,143394.0
1995-01-27,141276.0
1995-01-31,140652.0
1995-02-03,139752.0
1995-02-07,139224.0
1995-02-10,136830.0
1995-02-14,136098.0
1995-02-17,134790.0
1995-02-21,134310.0
1995-02-24,133482.0
1995-02-28,132558.0
1995-03-03,131892.0
1995-03-07,131190.0
1995-03-10,128304.0
1995-03-14,127362.0
1995-03-17,126540.0
1995-03-21,125286.0
1995-03-24,124404.0
1995-03-28,123510.0
1995-03-31,122436.0
1995-04-04,121998.0
1995-04-07,120474.0
1995-04-11,118884.0
1995-04-18,117810.0
1995-04-21,115782.0
1995-04-25,115020.0
1995-04-28,114390.0
1995-05-02,113754.0
1995-05-05,112590.0
1995-05-12,110178.0
1995-05-16,108882.0
1995-05-19,107166.0
1995-05-23,106308.0
1995-05-26,104484.0
1995-06-02,102300.0
1995-06-06,101046.0
1995-06-09,98676.0
1995-06-13,97404.0
1995-06-16,95208.0
1995-06-20,93522.0
1995-06-23,91722.0
1995-06-27,90744.0
1995-06-30,88464.0
1995-07-04,87660.0
1995-07-07,86220.0
1995-07-11,84294.0
1995-07-14,83064.0
1995-07-18,80922.0
1995-07-21,79026.0
1995-07-25,78306.0
1995-07-28,74982.0
1995-08-01,73380.0
1995-08-04,72978.0
1995-08-08,72624.0
1995-08-11,71898.0
1995-08-15,70968.0
1995-08-18,70134.0
1995-08-22,69126.0
1995-08-25,67896.0
1995-09-01,66456.0
1995-09-05,65868.0
1995-09-08,64962.0
1995-09-12,63552.0
1995-09-15,62382.0
1995-09-19,62442.0
1995-09-22,61500.0
1995-09-26,61224.0
1995-09-29,60546.0
1995-10-03,60324.0
1995-10-06,59190.0
1995-10-10,57672.0
1995-10-13,56070.0
1995-10-17,55080.0
1995-10-20,54090.0
1995-10-24,53196.0
1995-10-27,52194.0
1995-10-31,51372.0
1995-11-03,50574.0
1995-11-07,50190.0
1995-11-10,49350.0
1995-11-14,49074.0
1995-11-17,47976.0
1995-11-21,47520.0
1995-11-24,47232.0
1995-11-28,47058.0
1995-12-01,47400.0
1995-12-05,47166.0
1995-12-08,46278.0
1995-12-12,45870.0
1995-12-15,44556.0
1995-12-19,44718.0
1995-12-22,44952.0
1995-12-29,44892.0
1996-01-05,44676.0
1996-01-09,43764.0
1996-01-12,42474.0
1996-01-16,42090.0
1996-01-19,41790.0
1996-01-23,41544.0
1996-01-26,41088.0
1996-01-30,40710.0
1996-02-02,40470.0
1996-02-06,40380.0
1996-02-09,39828.0
1996-02-13,39114.0
1996-02-16,38790.0
1996-02-20,38802.0
1996-02-23,38694.0
1996-02-27,38700.0
1996-03-01,38622.0
1996-03-05,38256.0
1996-03-08,37464.0
1996-03-12,36894.0
1996-03-15,36636.0
1996-03-19,35862.0
1996-03-22,35466.0
1996-03-26,34788.0
1996-03-29,34914.0
1996-04-02,34806.0
1996-04-09,34710.0
1996-04-12,33852.0
1996-04-16,33636.0
1996-04-19,34368.0
1996-04-23,35052.0
1996-04-26,35262.0
1996-04-30,34974.0
1996-05-03,35076.0
1996-05-10,35232.0
1996-05-14,34914.0
1996-05-17,35058.0
1996-05-21,35010.0
1996-05-24,35106.0
1996-05-31,35436.0
