,LEZS
2000-07-28,201000.0
2000-07-31,200625.0
2000-08-01,202425.0
2000-08-02,202100.0
2000-08-03,201525.0
2000-08-04,199475.0
2000-08-07,198825.0
2000-08-08,198625.0
2000-08-09,198275.0
2000-08-10,198250.0
2000-08-11,198750.0
2000-08-14,200000.0
2000-08-15,199625.0
2000-08-16,200000.0
2000-08-17,200700.0
2000-08-18,200200.0
2000-08-21,196925.0
2000-08-22,196750.0
2000-08-23,200050.0
2000-08-24,199925.0
2000-08-25,203350.0
2000-08-29,207725.0
2000-08-30,207875.0
2000-08-31,207375.0
2000-09-01,206000.0
2000-09-04,206200.0
2000-09-05,205750.0
2000-09-06,204300.0
2000-09-07,200775.0
2000-09-08,200250.0
2000-09-11,200125.0
2000-09-12,200025.0
2000-09-13,203775.0
2000-09-14,202925.0
2000-09-15,203175.0
2000-09-18,204975.0
2000-09-19,208075.0
2000-09-20,214425.0
2000-09-21,214050.0
2000-09-22,215325.0
2000-09-25,216500.0
2000-09-26,217175.0
2000-09-27,218200.0
2000-09-28,219150.0
2000-09-29,219000.0
2000-10-02,218975.0
2000-10-03,218975.0
2000-10-04,218525.0
2000-10-05,218375.0
2000-10-06,217400.0
2000-10-09,218000.0
2000-10-10,217975.0
2000-10-11,218400.0
2000-10-12,219225.0
2000-10-13,218750.0
2000-10-16,220400.0
2000-10-17,220275.0
2000-10-18,217650.0
2000-10-19,216475.0
2000-10-20,216100.0
2000-10-23,215025.0
2000-10-24,213400.0
2000-10-25,211950.0
2000-10-26,213175.0
2000-10-27,212550.0
2000-10-30,211250.0
2000-10-31,210175.0
2000-11-01,209750.0
2000-11-02,209075.0
2000-11-03,208350.0
2000-11-06,208025.0
2000-11-07,207825.0
2000-11-08,206175.0
2000-11-09,205250.0
2000-11-10,204875.0
2000-11-13,204475.0
2000-11-14,204400.0
2000-11-15,203750.0
2000-11-16,203600.0
2000-11-17,202775.0
2000-11-20,201950.0
2000-11-21,201850.0
2000-11-22,199700.0
2000-11-23,199500.0
2000-11-24,199250.0
2000-11-27,198825.0
2000-11-28,198525.0
2000-11-29,197950.0
2000-11-30,197325.0
2000-12-01,196650.0
2000-12-04,196225.0
2000-12-05,195850.0
2000-12-06,195575.0
2000-12-07,192100.0
2000-12-08,189900.0
2000-12-11,189325.0
2000-12-12,189000.0
2000-12-13,188950.0
2000-12-14,189025.0
2000-12-15,187650.0
2000-12-18,189525.0
2000-12-19,189425.0
2000-12-20,189325.0
2000-12-21,190100.0
2000-12-22,191050.0
2000-12-27,192625.0
2000-12-28,192550.0
2000-12-29,192275.0
2001-01-02,192050.0
2001-01-03,192000.0
2001-01-04,191625.0
2001-01-05,192375.0
